Country,Extra Info,1966,1967,1968,1969
Algeria,nan,122999,118325,134160,nan
Angola,nan,10077,9388,nan,nan
Burundi,nan,nan,nan,nan,nan
Cameroon,nan,nan,nan,nan,nan
Cabo Verde,nan,2167,2593,nan,nan
Equatorial Guinea,nan,1558,1369,nan,nan
Fernando Poo,nan,907,nan,nan,nan
Rio Muni,nan,651,nan,nan,nan
Gambia,nan,397,460,nan,nan
Ghana,Registration area,16900,18111,nan,nan
Kenya,Non-African population,nan,nan,nan,28707
Kenya,Non-African population,1375,1902,nan,nan
Libya,nan,9458,10875,8916,nan
Madagascar,nan,156000,82815,nan,nan
Malawi,nan,11,nan,nan,nan
Malawi,Asiatic population,46,nan,nan,nan
Malawi,European population,28,nan,nan,nan
Mauritius,nan,6701,6543,7126,6418
Rodrigues,nan,243,207,256,nan
Nigeria,nan,9323,9894,9569,nan
Portuguese Guinea,nan,6101,5393,5999,nan
Reunion,nan,4284,3603,3763,3857
Rwanda,nan,57,52,38,nan
Sao Tome and Principe,nan,118,847,nan,nan
Senegal,nan,1,nan,nan,nan
Seychelles,nan,7061,6735,6594,nan
Sierra Leone,Western Area,4466,3921,4083,nan
South Africa,Asiatic population,3999,4251,4204,nan
South Africa,Coloured population,26948,29276,27603,nan
South Africa,White population,29962,32015,32024,nan
Zimbabwe,Asiatic population,49,62,45,nan
Zimbabwe,Coloured population,77,89,77,nan
Zimbabwe,European population,1460,1512,1646,nan
Spanish Sahara,nan,546,481,485,527
Spanish North Africa,nan,381,470,473,354
Tunisia,African population,13538,14851,nan,nan
Uganda,nan,47992,49203,46720,nan
Uganda,Non-African population,477021,440161,512,468363
United Arab Republic,nan,nan,nan,0,nan
Tanzania,nan,1141,1242,nan,nan
Zanzibar,nan,351,360,324,nan
Antigua,nan,996,nan,1023,nan
Bahamas,nan,1098,nan,nan,nan
Barbados,nan,2012,nan,nan,nan
Bermuda,nan,355,nan,nan,nan
British Honduras,nan,776,811,403,nan
Canada,nan,149863,nan,714,154449
Cayman Islands,nan,67,214,46,nan
Costa Rica,nan,12814,nan,nan,nan
Cuba,nan,11379,nan,nan,nan
Dominica,nan,50472,50,nan,nan
Dominican Republic,nan,552,528,27834,27612
El Salvador,nan,10,15040,nan,nan
Greenland,nan,337,15754,nan,nan
Grenada,nan,2558,nan,nan,nan
Guadeloupe,nan,2497,2581,2555,2404
Guatemala,nan,75774,70907,nan,nan
Haiti,nan,nan,nan,nan,nan
Honduras,nan,20493,19655,nan,nan
Jamaica,nan,2435,2377,2280,2517
Mexico,nan,424141,420298,452910,444700
Montserrat,nan,139,148,115,138
Netherlands Antilles,nan,989,1017,1082,nan
Nicaragua,nan,12404,14220,9864,10408
Panama,nan,9184,8938,nan,nan
Puerto Rico,nan,16891,14808,15172,15455
St. Kitts-Nevis-Anguilla,nan,545,445,443,nan
St. Lucia,nan,728,nan,nan,nan
St. Pierre and Miquelon,nan,40,53,nan,nan
St. Vincent,nan,832,nan,nan,nan
Trinidad and Tobago,nan,7060,6775,7116,nan
Turks and Caicos Islands,nan,63,27,38,nan
United States,nan,1863149,1851323,1930082,11085879
Argentina,nan,194450,202673,nan,nan
Bolivia,nan,91086,86840,nan,nan
Brazil,nan,91648,nan,nan,nan
Chile,nan,nan,nan,nan,nan
Colombia,nan,174712,179676,nan,nan
Ecuador,nan,67709,58317,nan,nan
Falkland Islands (Malvinas),nan,59618,nan,61697,nan
French Guiana,nan,nan,nan,409,nan
Guyana,nan,23,21,32,nan
Guyana,Amerindian population,253,94,14120,nan
Paraguay,nan,nan,9095,nan,nan
Peru,nan,93133,nan,nan,nan
Suriname,nan,2378,nan,nan,nan
Uruguay,nan,24862,62111,572,nan
Venezuela,nan,2280,26484,nan,nan
Brunei,nan,657,656,570,95000
Myanmar,nan,51804,45943,nan,nan
Sri Lanka,nan,94419,nan,nan,nan
China (Taiwan),nan,69780,71861,73650,73078
Cyprus,nan,3513,3970,4464,4290
Hong Kong,nan,19261,234,19444,19256
India,nan,nan,nan,nan,nan
Indonesia,nan,nan,179220,nan,nan
Iran,nan,177688,34250,176091,nan
Iraq,nan,32652,nan,nan,nan
Israel,nan,16527,17643,18689,19100
Japan,nan,670342,675006,683891,686374
Jordan,nan,nan,nan,nan,nan
Kuwait,nan,2813,3111,3346,nan
Lebanon,nan,10490,11480,11993,12098
Malaysia,Sabah,3364,3171,2949,3226
Malaysia,Sarawak,4172,1361,1431,nan
Malaysia,West Malaysia,63398,63876,nan,nan
Maldives,nan,nan,nan,nan,nan
Mongolia,nan,nan,nan,nan,nan
Pakistan,nan,nan,nan,nan,nan
Philippines,nan,236396,210122,248437,nan
Portuguese Timor,nan,7035,6126,nan,nan
Ryukyu Islands,nan,5009,4791,5092,4891
Singapore,nan,10552,10617,11050,nan
Southern Yemen,nan,2030,1471,25342,nan
Syria,nan,2030,1471,25342,nan
Thailand,nan,21195,25186,230622,nan
Turkey,nan,nan,nan,nan,nan
Vietnam,nan,96975,nan,114100,nan
Albania,nan,16469,16565,16214,nan
Austria,nan,91440,95438,96014,97743
Belgium,nan,115613,115212,123559,119375
Bulgaria,nan,68366,74696,72176,nan
Channel Islands,nan,1364,1324,1515,nan
Czechoslovakia,nan,142141,144425,153031,160984
Denmark,nan,49344,47836,47164,47855
Faeroe Islands,nan,262,289,nan,nan
Finland,nan,43548,43790,45013,46017
France,nan,528782,543033,551000,nan
Germany,nan,528782,543033,551000,nan
East Germany,nan,208293,209838,243500,nan
West Germany,nan,646916,647545,692394,698920
East Berlin,nan,17370,17230,nan,nan
West Berlin,nan,39405,39804,41654,42382
Gibraltar,nan,204,244,216,72258
Greece,nan,67912,71975,73309,72258
Hungary,nan,101943,109530,115354,116508
Ireland,nan,nan,31400,33157,508
Iceland,nan,35113,nan,1387,33
Isle of Man,nan,77842,78867,21352,868
Italy,nan,4057,4133,4166,4193
Liechtenstein,nan,nan,122,nan,536
Luxembourg,nan,4133,4166,408,nan
Malta,nan,2865,2985,2883,3024
Monaco,nan,390,nan,nan,nan
Netherlands,nan,100516,99792,104989,107473
Norway,nan,36010,36216,37668,38100
Poland,nan,20400,232945,244115,262800
Portugal,nan,123114,116703,125536,nan
Romania,nan,nan,nan,509,nan
San Marino,nan,157445,179129,188,201
Spain,nan,275170,279466,282923,302316
Sweden,nan,78440,79783,82613,83290
Switzerland,nan,644193,620385,57374,57401
United Kingdom,nan,564063,546191,576754,578400
Northern Ireland,nan,9207,14671,nan,16300
Scotland,nan,63689,59523,63311,63800
Yugoslavia,nan,nan,174060,173916,186668
American Samoa,nan,150,126,116,146
Australia,nan,103929,102703,109547,nan
Christmas Island,nan,5,9,14,nan
