Country,Extra Info,1991,1992,1993,1994,1995
Algeria,nan,755000,760000,766000,nan,nan
Angola,nan,nan,nan,nan,nan,nan
Benin,nan,nan,nan,nan,nan,nan
Botswana,nan,nan,nan,nan,nan,nan
Burkina Faso,nan,nan,nan,nan,nan,nan
Burundi,nan,nan,nan,nan,nan,nan
Cameroon,nan,2616,2843,nan,nan,nan
Cabo Verde,nan,nan,nan,nan,nan,nan
Chad,nan,nan,nan,nan,nan,nan
Comoros,nan,nan,nan,nan,nan,nan
Congo,nan,nan,nan,nan,nan,nan
Côte d'Ivoire,nan,nan,nan,nan,nan,nan
Djibouti,nan,nan,nan,nan,nan,nan
Egypt,nan,391588,382465,405239,414643,nan
Equatorial Guinea,nan,nan,nan,nan,nan,nan
Eritrea,nan,nan,nan,nan,nan,nan
Ethiopia,nan,nan,nan,nan,nan,nan
Gabon,nan,nan,nan,nan,nan,nan
Gambia,nan,nan,nan,nan,nan,nan
Ghana,nan,nan,nan,nan,nan,nan
Guinea,nan,nan,nan,nan,nan,nan
Guinea-Bissau,nan,98873,777728,nan,nan,nan
Kenya,nan,nan,nan,nan,nan,nan
Lesotho,nan,nan,nan,nan,nan,nan
Liberia,nan,nan,nan,nan,nan,nan
Libya,nan,29720,nan,nan,nan,nan
Madagascar,nan,nan,nan,nan,nan,nan
Malawi,nan,nan,nan,nan,nan,nan
Mali,nan,nan,nan,nan,nan,nan
Mauritania,nan,7027,7023,35292,35348,35509
Mauritius,nan,6815,6866,7275,7234,nan
Rodrigues,nan,212,157,158,168,nan
Morocco,nan,83209,82729,nan,nan,nan
Mozambique,nan,nan,nan,nan,nan,nan
Namibia,nan,nan,nan,nan,nan,nan
Niger,nan,nan,nan,nan,nan,nan
Nigeria,nan,nan,nan,nan,nan,nan
Reunion,nan,3415,nan,nan,nan,nan
Rwanda,nan,nan,nan,nan,nan,nan
St. Helena,nan,42,44,58,54,nan
Tristan da Cunha,nan,nan,nan,2,nan,nan
Sao Tome and Principe,nan,nan,nan,1102,nan,nan
