Country,Extra Info,Extra Info,1996,1997,1998,1999
Algeria,Total,172387,172431,171775,nan
Angola,Total,nan,nan,nan,nan
Benin,Total,nan,nan,nan,nan
Botswana,Total,16031,16137,16244,16352
Burkina Faso,Total,nan,nan,nan,nan
Burundi,Total,nan,nan,nan,nan
Cameroon,Total,nan,nan,nan,nan
Cabo Verde,Total,nan,nan,nan,nan
Central African Republic,Total,2786,nan,nan,nan
Chad,Total,nan,nan,nan,nan
Comoros,Total,nan,nan,nan,nan
Congo,Total,nan,nan,nan,nan
Côte d'Ivoire,Total,nan,nan,nan,nan
DR Congo,Total,nan,nan,nan,nan
Djibouti,Total,nan,nan,nan,nan
Egypt,Total,379983,389301,nan,nan
Equatorial Guinea,Total,nan,nan,nan,nan
Eritrea,Total,nan,nan,nan,nan
Ethiopia,Total,nan,nan,nan,1062114
Gabon,Total,nan,nan,nan,nan
Gambia,Total,nan,nan,nan,nan
Ghana,Total,nan,nan,nan,nan
Guinea,Total,nan,nan,nan,nan
Guinea-Bissau,Total,nan,nan,nan,nan
Kenya,Total,nan,nan,nan,nan
Lesotho,Total,nan,nan,nan,nan
Liberia,Total,nan,nan,nan,nan
Libya,Total,12281,nan,nan,nan
Madagascar,Total,nan,nan,nan,nan
Malawi,Total,nan,nan,nan,nan
Mali,Total,nan,nan,nan,nan
Mauritania,Total,nan,nan,nan,nan
Mauritius,Total,7670,7986,7839,7943
Morocco,Total,84733,87225,95111,nan
Mozambique,Total,nan,nan,nan,nan
Namibia,Total,nan,nan,nan,nan
Niger,Total,nan,nan,nan,nan
Nigeria,Total,nan,nan,nan,nan
Reunion,Total,nan,nan,nan,nan
Rwanda,Total,3806,3608,nan,nan
Saint Helena ex. dep.,Total,44,30,39,nan
Tristan da Cunha,Total,4,nan,nan,nan
Senegal,Total,nan,nan,nan,nan
Seychelles,Total,586,603,570,580
Sierra Leone,Total,nan,nan,nan,nan
Somalia,Total,nan,nan,nan,nan
South Africa,Total,327822,nan,nan,nan
Sudan,Total,nan,nan,nan,nan
Eswatini,Total,nan,nan,nan,nan
Togo,Total,nan,nan,nan,nan
Tunisia,Total,40817,42426,42571,nan
Uganda,Total,nan,nan,nan,nan
United Republic of Tanzania,Total,nan,nan,nan,nan
Western Sahara,Total,nan,nan,nan,nan
Zambia,Total,nan,nan,nan,nan
Zimbabwe,Total,nan,nan,nan,nan
Anguilla,Total,83,56,62,58
Antigua and Barbuda,Total,nan,nan,nan,nan
Aruba,Total,469,nan,nan,nan
Bahamas,Total,1537,nan,nan,nan
Barbados,Total,2400,nan,nan,nan
