Country,Extra Info,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958
Algeria,European population,21033,20512,20375,20145,19162,19760,19575,19230,19892,20779
Algeria,Moslem population,259634,306808,324171,339818,343100,362900,379546,297848,272693,nan
Angola,nan,52711,58365,61247,66971,65341,72756,77006,92401,98934,103113
Bechuanaland,Non-indigenous population,58,75,65,78,90,79,81,105,117,nan
Belgian Congo,Indigenous population,nan,nan,nan,nan,357782,371740,412286,nan,nan,nan
Belgian Congo,White population,1771,2209,2701,2921,3348,3502,3884,3897,nan,nan
Cameroons [Fr. Adm.],Indigenous population,nan,nan,nan,nan,nan,nan,82306,nan,90912,nan
Cape Verde Islands,nan,3904,5322,7367,7647,7597,8697,8547,8377,8237,nan
Former French West Africa,Indigenous population,nan,8174,8873,9021,9959,11946,11564,13620,14174,16234
Former French West Africa,Non-indigenous population,nan,825,897,934,970,1012,966,1160,1089,1226
French Somaliland,Indigenous population,nan,nan,696,599,nan,nan,1704,nan,nan,nan
French Somaliland,Non-indigenous population,nan,nan,nan,nan,120,138,113,nan,nan,nan
Gambia,Bathurst,666,803,780,710,735,669,770,894,1030,1026
Ghana,nan,15483,14645,15335,15878,18181,nan,22445,nan,nan,30620
Guinea,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ifni,nan,nan,1462,1225,1061,1539,1261,966,1670,1178,1890
Malagasy Republic,nan,113078,131480,132068,139859,149768,31151480,167842,179570,174296,nan
Mauritius ex. dep,nan,20472,23110,22968,24120,23896,21926,22970,24910,25273,24600
Rodrigues,nan,459,557,575,569,532,587,642,756,782,798
Morocco,Northern Zone,16574,19000,17741,16430,15932,23865,32539,nan,nan,nan
Morocco,Southern Zone,9835,10322,10965,11561,11507,12124,12239,11574,nan,nan
Mozambique,nan,53045,48709,50254,51065,57323,50780,50824,44502,46599,nan
Mozambique,Civilized population,2860,3128,3302,3437,3644,3783,4094,4348,4361,nan
Nigeria,Lagos (Federal Capital),319986,3112659,14292,12239,12297,12842,14246,15484,16135,17186
Portuguese Guinea,nan,3852,6802,9013,8372,10652,12339,10846,10758,9739,nan
Reunion,nan,10382,11714,11684,13231,13597,13613,14082,14129,14484,14224
Rhodesia and Nyasaland Fed. of,European population,4120,4580,5301,5804,5985,6078,6310,6862,7627,8160
Northern Rhodesia,European population,850,1036,1200,1318,1450,1686,1814,2076,2208,2339
Northern Rhodesia,Indigenous population,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nyasaland,nan,44554,42060,25475,30839,22087,nan,nan,nan,nan,nan
Nyasaland,European population,99,149,172,197,168,169,241,229,274,327
Southern Rhodesia,nan,3171,3395,3929,4289,4367,4223,4255,4557,5145,5494
Southern Rhodesia,Indigenous population,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ruanda-Urundi,Indigenous population,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ruanda-Urundi,White population,99,127,161,204,209,187,nan,nan,nan,nan
St. Helena ex. dep,nan,149,136,134,149,140,121,140,127,120,129
Sao Tome and Principe,nan,2735,2580,2440,2163,1878,2844,3064,3030,2832,nan
