Country,Extra Info,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
Algeria,Algerian Population,874519,416900,nan,nan,nan,516577,507848,nan,nan,nan,nan
Algeria,Non-Algerian Population,22819,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Angola,nan,100458,97594,96288,101906,98356,105518,114433,128698,140337,nan,nan
Botswana,Non-African Population,138,nan,nan,nan,nan,nan,147920,nan,nan,nan,nan
Cameroon West Cameroon,African Population,9609,8954,nan,8319,8952,9671,9783,9638,10190,9621,nan
Cape Verde Islands,nan,9609,8954,nan,8319,8952,9671,9783,9638,10190,9621,nan
Central African Republic,African Population,848830,nan,nan,nan,9112360,4378,nan,nan,nan,nan,nan
Chad,African Population,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Comoros,nan,nan,900,nan,nan,nan,nan,nan,nan,nan,nan,nan
Congo (Brazzaville),African Population,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Congo (Democratic Republic of),African Population,nan,nan,nan,nan,nan,nan,11,nan,216,513448,nan
Congo (Democratic Republic of),White Population,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Dahomey,nan,nan,nan,nan,nan,3348,3502,3884,544,3897,4138,4008
Dahomey,African Population,4580,2317,2296,2381,2138,1763,2301,2133,2457,3644,nan
Equatorial Guinea,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Equatorial Guinea,Fernando Poo,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Equatorial Guinea,Rio Muni,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
French Territory of the Afars and the Issas,nan,nan,1817,nan,nan,nan,nan,nan,nan,nan,nan
Djibouti,nan,1439,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Gabon,African Population,nan,nan,nan,1512206,nan,nan,nan,nan,nan,nan,nan
Gambia,nan,nan,nan,1415418,nan,nan,nan,nan,nan,nan,nan,nan
Gambia,Bathurst,1095,803,780,710,735,669,770,894,1030,1026,nan
