
Country,Extra Info,1970,1971,1972,1973,1974
Pakistan,nan,966762,nan,nan,nan,nan
Portuguese Timor,nan,13607,nan,11311,nan,nan
Sri Lanka,nan,367901,381780,384066,nan,nan
Syrian Arab Republic,nan,191728,201988,231505,nan,nan
Thailand,nan,145293,221228,1189950,245282,nan
Yemen,nan,449249,nan,nan,nan,nan
Yemen Democratic,nan,377951,nan,nan,nan,nan
Albania,nan,69507,72784,nan,nan,nan
Austria,nan,112301,108510,104033,98041,96542
Bulgaria,nan,142168,140966,135841,131316,129425
Czechoslovakia,nan,228531,237242,251455,274461,291367
Denmark,nan,70802,75359,75505,71895,71397
Faeroe Islands,nan,814,779,798,808,nan
Finland,nan,64559,61067,58864,56739,62388
France,nan,850381,881284,877506,857700,800000
German Democratic Republic,nan,236929,234870,200443,180336,179127
Germany Federal Republic of,nan,810808,778526,701214,631631,627016
Gibraltar,nan,573,594,581,536,nan
Greece,nan,144928,141126,140891,137526,nan
Holy See,nan,3,2,1,nan,nan
Hungary,nan,151819,150640,153265,156224,186275
Iceland,nan,4023,4277,4676,4574,4400
Ireland,nan,64382,67551,68527,67992,68784
Isle of Man,nan,840,804,843,807,748
Italy,nan,901472,906182,888203,876410,871631
Liechtenstein,nan,422,350,359,403,nan
Malta,nan,nan,4512,4138,3847,3925
Monaco,nan,214,214,205,187,nan
Poland,nan,545973,562341,575725,598559,621100
Portugal,nan,172891,189042,174685,172324,168581
Romania,nan,427034,400146,389153,378696,nan
San Marino,nan,288,nan,nan,nan,nan
Spain,nan,663687,664770,665569,666336,680540
Sweden,nan,110150,114484,112273,109663,109705
United Kingdom,nan,903907,901648,833984,nan,738714
Northern Ireland,nan,32086,31765,29994,29200,27732
Scotland,nan,87335,86728,78550,74392,69982
Yugoslavia,nan,363278,nan,380743,377453,378808
American Samoa,nan,1003,1038,1077,987,154
Australia,nan,257516,276362,265124,247670,nan
Christmas Island,nan,35,34,34,29,nan
Cocos Keeling Islands,nan,10,13,18,15,nan
Cook Islands,nan,773,775,703,nan,nan
Fiji,nan,15546,16071,15160,15525,nan
French Polynesia,nan,nan,1188,1280,nan,nan
Gilbert and Ellice Islands,nan,1287,1268,nan,nan,nan
Guam,nan,2875,3068,3206,3234,nan
New Zealand,nan,62207,64704,63215,60727,nan
Niue Island,nan,196,nan,178,nan,nan
Norfolk Island,nan,24,24,21,nan,18
Pacific Islands,nan,3566,3610,3881,3881,3189
Papua New Guinea Non-indigenous,nan,1292,nan,1538,nan,nan
Pitcairn Island,nan,1,nan,1,nan,nan
Tokelau Islands,nan,13,55,19,nan,nan
Tonga,nan,2652,2505,nan,nan,nan
Western Samoa,nan,372,6377,6870,5847,5559
USSR,nan,4225649,4371549,4404034,4386180,4589000
Byelorussian SSR,nan,146676,149135,147813,144729,nan
Ukrainian SSR,nan,719213,736691,745696,719560,nan
Egypt,Urban,403600,465201,457870,nan,nan
Egypt,Rural,757939,721149,729416,nan,nan
Liberia,Urban,21290,nan,nan,nan,nan
Liberia,Rural,56232,nan,nan,nan,nan
Seychelles,Urban,518,553,nan,nan,nan
Seychelles,Rural,1142,1284,nan,nan,nan
South Africa White Population,Urban,nan,81830,nan,nan,nan
South Africa White Population,Rural,nan,7766,nan,nan,nan
Tunisia,Urban,89703,87846,93958,92529,nan
Tunisia,Rural,96657,95465,104827,102235,nan
Dominican Republic,Urban,66618,nan,nan,nan,nan
Dominican Republic,Rural,96427,nan,nan,nan,nan
El Salvador,Urban,56266,59511,60796,nan,nan
El Salvador,Rural,85205,94798,92668,nan,nan
Honduras,Urban,40809,38605,39665,nan,nan
Honduras,Rural,66312,78825,81265,nan,nan
Nicaragua,Urban,nan,49735,nan,nan,nan
Nicaragua,Rural,nan,28562,nan,nan,nan
Panama,Urban,23388,26267,nan,nan,nan
Panama,Rural,29899,28681,nan,nan,nan
St. Kitts-Nevis-Anguilla,Urban,nan,nan,751,nan,nan
St. Kitts-Nevis-Anguilla,Rural,nan,nan,485,nan,nan
Ecuador,Urban,78080,83160,nan,nan,nan
Ecuador,Rural,152101,160316,nan,nan,nan
Brunei,Urban,nan,nan,3655,3767,nan
Brunei,Rural,nan,nan,1153,1267,nan
Cyprus,Urban,nan,nan,nan,5404,nan
Cyprus,Rural,nan,nan,nan,6196,nan
Greece,Urban,nan,77754,80614,80389,nan
Greece,Semi-urban,16726,16006,nan,nan,nan
Greece,Rural,50223,47366,60277,57137,nan
Hungary,Urban,66963,65908,68867,72595,nan
Hungary,Rural,84787,84684,84364,83588,nan
Luxembourg,Urban,2739,3075,2745,2601,nan
Norway,Urban,nan,nan,28856,35404,27367
Norway,Rural,248201,297772,258336,304005,312944
French Polynesia,Urban,nan,42892,nan,nan,nan
French Polynesia,Rural,nan,21568,nan,nan,nan
Pacific Islands,Urban,2013,1586,2024,nan,nan
Pacific Islands,Rural,1625,2206,nan,nan,nan
