Country,Extra Info,1981,1982,1983,1984,1985
Algeria,nan,835100,851919,822631,nan,nan
Cape Verde,nan,8260,10756,nan,nan,nan
Egypt,nan,1593698,1650288,nan,nan,nan
Guinea-Bissau,nan,8717,nan,nan,nan,nan
Libyan Arab Jamahiriya,nan,118228,nan,nan,nan,nan
Madagascar,nan,403000,nan,nan,nan,nan
Mauritius,Island of Mauritius,23344,21228,19807,19222,18520
Mauritius,Rodrigues,1297,1212,1125,1110,856
Nigeria,nan,11800,nan,12461,nan,13111
Reunion,nan,290947,nan,nan,nan,nan
Rwanda,nan,nan,307772,nan,13082,nan
Saint Helena,nan,129,123,7,87,3
Sao Tome and Principe,nan,nan,3326,nan,nan,3924
Seychelles,nan,1802,1552,1662,1739,nan
Tunisia,nan,225671,221027,nan,nan,nan
Antigua and Barbuda,nan,1177,1152,1174,nan,nan
Aruba,nan,1051,1036,1133,nan,nan
Bahamas,nan,5251,5293,5280,5023,nan
Barbados,nan,4413,4499,4496,4218,nan
Belize,nan,nan,5861,nan,nan,6659
Bermuda,nan,777,805,913,840,nan
British Virgin Islands,nan,231,235,280,246,nan
Canada,nan,371346,373082,373689,nan,nan
Cayman Islands,nan,347,339,387,414,367
Costa Rica,nan,67715,71257,72953,79023,nan
Cuba,nan,136211,159759,165284,166281,182067
Dominican Republic,nan,nan,nan,nan,162774,nan
El Salvador,nan,163305,156796,144193,142202,nan
Greenland,nan,1051,1066,985,1054,1150
Guadeloupe,nan,6436,6643,6722,nan,nan
Guatemala,nan,308095,311978,288502,nan,nan
Honduras,nan,161020,161653,158419,nan,nan
Jamaica,nan,58049,59079,nan,53752,nan
Martinique,nan,5406,5376,5641,5707,nan
Mexico,nan,2530662,2392849,nan,nan,nan
Netherlands Antilles,nan,3502,3580,nan,nan,nan
Nicaragua,nan,nan,nan,135132,nan,nan
Panama,nan,53873,54491,55222,56659,nan
Puerto Rico,nan,71365,69336,65742,nan,nan
Saint Christopher and Nevis,nan,1137,1307,1093,1115,nan
Saint Lucia,nan,3860,nan,4069,4040,nan
St. Vincent and the Grenadines,nan,109,nan,nan,nan,nan
Trinidad and Tobago,nan,3227,nan,3295,nan,nan
Turks and Caicos Islands,nan,32177,204,nan,nan,nan
Argentina,nan,680292,nan,706979,nan,nan
Brazil,nan,2865839,nan,2710350,2559038,nan
Chile,nan,264809,274335,260655,265016,nan
Ecuador,nan,223182,nan,206158,206243,nan
Falkland Islands (Malvinas),nan,28,nan,nan,nan,nan
French Guiana,nan,1963,nan,2299,nan,nan
Guyana,nan,nan,2367,nan,nan,nan
Suriname,nan,705106,651200,689000,698000,699000
Uruguay,nan,53923,54594,nan,nan,nan
Venezuela,nan,nan,nan,509400,nan,nan
Bahrain,nan,10300,11037,nan,nan,nan
Bangladesh,nan,3113342,3247470,nan,nan,nan
Brunei Darussalam,nan,5877,5952,5983,6330,6682
Cyprus,nan,12430,13330,13400,13528,nan
Hong Kong,nan,nan,86120,83293,77635,nan
India,nan,86751,nan,nan,nan,nan
Indonesia,nan,nan,nan,nan,nan,5400562
Iran,nan,2421611,2101894,2203448,2067803,nan
Iraq,nan,388252,nan,nan,nan,nan
Israel,nan,93308,96695,98724,98478,nan
Japan,nan,1529455,1515392,1508687,1489780,nan
Jordan,nan,95628,97974,nan,102521,104893
Korea Republic of,nan,906063,917860,926605,931368,nan
