Country,Extra Info,1986,1987,1988,1989
Algeria,nan,nan,nan,nan,nan
Angola,nan,nan,nan,nan,nan
Benin,nan,nan,nan,nan,nan
Botswana,nan,45577,37989,nan,nan
Burkina Faso,nan,nan,nan,nan,nan
Burundi,nan,nan,nan,nan,nan
Cameroon,nan,12636,12771,12443,nan
Central African Republic,nan,nan,nan,nan,nan
Chad,nan,nan,nan,nan,nan
Comoros,nan,24000,nan,nan,nan
Congo,nan,nan,nan,nan,nan
Côte d'Ivoire,nan,nan,nan,nan,nan
Djibouti,nan,nan,nan,nan,nan
Egypt,nan,1878000,2087302,nan,nan
Equatorial Guinea,nan,nan,nan,nan,nan
Ethiopia,nan,nan,nan,nan,nan
Gabon,nan,nan,nan,nan,nan
Gambia,nan,nan,nan,nan,nan
Ghana,nan,nan,nan,nan,nan
Guinea,nan,nan,nan,nan,nan
Guinea-Bissau,nan,nan,nan,nan,nan
Kenya,nan,nan,nan,nan,nan
Lesotho,nan,nan,nan,nan,nan
Liberia,nan,nan,nan,nan,nan
Libyan Arab Jamahiriya,nan,nan,nan,nan,nan
Madagascar,nan,nan,nan,nan,nan
Malawi,nan,nan,nan,nan,nan
Mali,nan,nan,375117,nan,nan
Mauritania,nan,nan,nan,nan,nan
Mauritius,nan,nan,nan,nan,nan
Island of Mauritius,nan,18225,19152,19978,20956
Rodrigues,nan,945,882,884,867
Morocco,nan,472306,465978,488000,nan
Mozambique,nan,nan,nan,nan,nan
Namibia,nan,nan,nan,nan,nan
Niger,nan,nan,nan,nan,nan
Nigeria,nan,nan,nan,nan,nan
Réunion,nan,12797,12599,13559,nan
Rwanda,nan,nan,nan,nan,nan
St. Helena,nan,101,55,nan,nan
Tristan da Cunha,nan,3,2,4,nan
Sao Tome and Principe,nan,4026,3913,4201,4047
Senegal,nan,nan,nan,nan,nan
Seychelles,nan,1722,1684,1643,1600
Sierra Leone,nan,84047,nan,nan,nan
Somalia,nan,nan,nan,nan,nan
South Africa,nan,nan,nan,nan,nan
Sudan,nan,nan,nan,nan,nan
Swaziland,nan,nan,nan,nan,nan
Togo,nan,nan,nan,nan,nan
Tunisia,nan,231800,nan,214729,nan
Uganda,nan,nan,nan,nan,nan
United Republic of Tanzania,nan,nan,nan,nan,nan
