Country,Extra Info,2011,2012,2013,2014,2015
Algeria,Total,161862,169815,168136,173781,182570
Benin,Total,78670,79116,nan,nan,nan
Botswana,Total,13301,12270,11967,12177,nan
Djibouti,Total,1011,nan,nan,nan,nan
Egypt,Total,493086,529512,511183,531864,573129
Ghana,Total,nan,54551,466,nan,nan
Kenya,Total,182652,187811,194332,198611,nan
Lesotho,Total,5314,7751,nan,nan,nan
Mauritius,Total,9170,9343,9440,9682,9747
Mayotte,Total,nan,nan,nan,590,nan
Namibia,Total,22668,nan,nan,nan,nan
Niger,Total,6761,nan,nan,nan,nan
Reunion,Total,nan,nan,nan,4355,nan
Rwanda,Total,140519,139499,nan,nan,nan
Saint Helena,Total,49,62,55,61,nan
Sao Tome and Principe,Total,nan,1287,nan,nan,nan
Senegal,Total,134450,135468,136460,nan,nan
Seychelles,Total,691,651,717,725,703
Sierra Leone,Total,13674,12767,nan,nan,nan
Tanzania,Total,63258,62224,nan,62785,nan
Anguilla,Total,55,38,72,nan,nan
Antigua and Barbuda,Total,nan,nan,nan,59,61
Aruba,Total,633,595,560,643,679
Bahamas,Total,2117,1995,2065,nan,nan
Barbados,Total,2421,2403,2276,2580,nan
Belize,Total,1554,1535,nan,nan,nan
Bermuda,Total,429,422,471,480,457
British Virgin Islands,Total,98,122,113,111,136
Canada,Total,243651,252309,256982,268056,nan
Cayman Islands,Total,176,184,182,163,170
Costa Rica,Total,18801,19200,19647,20553,39
Cuba,Total,87044,89372,92273,96330,99693
Curacao,Total,276,1246,1250,nan,nan
Dominica,Total,592,nan,630,nan,nan
Dominican Republic,Total,35490,35636,35507,38997,35479
El Salvador,Total,33211,32148,nan,nan,nan
Greenland,Total,476,459,444,461,472
Grenada,Total,nan,856,nan,nan,nan
Guadeloupe,Total,803,nan,822,nan,nan
Guatemala,Total,72354,72657,76639,77807,nan
Honduras,Total,37211,nan,nan,nan,nan
Jamaica,Total,16926,16998,17350,nan,nan
Martinique,Total,nan,nan,495,3,nan
Mexico,Total,589646,601259,622472,632587,nan
Panama,Total,133517,44,45,32,nan
Montserrat,Total,367,nan,767,171,nan
Puerto Rico,Total,30147,30054,29405,30330,28279
Saint Kitts and Nevis,Total,372,336,348,411,nan
Saint Lucia,Total,983,922,nan,nan,nan
