Country,Extra Info,2021,2022,2023,2024
Algeria,Total,258491,203146,192186,nan
Botswana,Total,17590,13924,13694,nan
Burundi,Total,110045,110345,110775,nan
Cabo Verde,Total,3178,3032,2925,nan
Côte d'Ivoire,Total,196629,nan,nan,nan
Djibouti,Total,1594,nan,nan,nan
Egypt,Total,741924,601535,nan,nan
Equatorial Guinea,Total,247454,337006,nan,nan
Eswatini,Total,7578,5655,nan,nan
Kenya,Total,231944,213210,205730,206415
Lesotho,Total,nan,15631,nan,nan
Libya,Total,17482,nan,nan,nan
Mauritius,Total,13274,12938,11839,12506
Mayotte,Total,6022,5851,6505,5213
Mozambique,Total,892,nan,277779,nan
Namibia,Total,nan,24117,nan,nan
Niger,Total,nan,nan,nan,nan
Reunion,Total,17074,nan,nan,nan
Rwanda,Total,19797,25567,32853,nan
Saint Helena: Ascension,Total,60,58,59,nan
Saint Helena ex. dep.,Total,nan,nan,2,nan
Senegal,Total,nan,nan,nan,nan
Seychelles,Total,925,941,7073,850
South Africa,Total,nan,nan,nan,nan
Togo,Total,nan,63755,nan,nan
Tunisia,Total,107006,334,nan,nan
United Republic of Tanzania,Total,nan,460697,nan,nan
Zimbabwe,Total,nan,121070,nan,nan
Anguilla,Total,70,79,95,114
Aruba,Total,964,879,814,840
Barbados,Total,2882,3354,2532,nan
Belize,Total,2504,2298,2297,nan
Bermuda,Total,727,585,622,nan
British Virgin Islands,Total,171,nan,nan,nan
Canada,Total,311640,336995,326,nan
Cayman Islands,Total,272,310,308,nan
Costa Rica,Total,31093,28931,29189,30185
Cuba,Total,167675,120108,117739,nan
Curaçao,Total,1687,1575,1510,1570
Dominican Republic,Total,51182,48828,52109,52732
Greenland,Total,531,nan,nan,527
Grenada,Total,nan,525,534,nan
Guadeloupe,Total,4526,3996,3822,nan
Guatemala,Total,118465,95386,95948,nan
Jamaica,Total,26974,21390,nan,nan
Martinique,Total,4623,4178,3822,nan
Mexico,Total,1110122,835433,788830,nan
Montserrat,Total,46,58,nan,51
Nicaragua,Total,35659,26853,40,nan
Panama,Total,24663,22860,21735,23206
Puerto Rico,Total,16369,35457,34319,33166
Saint Barthélemy,Total,41,49,44,nan
Saint Lucia,Total,nan,nan,nan,nan
Saint Pierre and Miquelon,Total,38,nan,62,nan
Saint Vincent and the Grenadines,Total,1183,1093,667,nan
Saint-Martin (French part),Total,194,149,11,nan
Turks and Caicos Islands,Total,122,145,144,130
United States of America,Total,nan,nan,964090,3072039
Argentina,Total,436799,397115,353428,nan
Brazil,Total,1786347,1504763,nan,nan
Chile,Total,137629,136972,121975,126883
Colombia,Total,363089,251613,411906,273772
Ecuador,Total,106211,91193,nan,nan
French Guiana,Total,1338,1159,1199,nan
Guyana,Total,7154,6818,nan,nan
Paraguay,Total,49652,nan,235,nan
Peru,Total,259721,158798,126217,nan
Suriname,Total,5535,4641,4423,nan
Uruguay,Total,168,322,nan,nan
Armenia,Total,34388,26692,24313,25435
Azerbaijan,Total,76878,60810,60150,58909
Bahrain,Total,4601,3521,nan,nan
Bangladesh,Total,969385,985024,1043095,nan
Bhutan,Total,3192,3187,3605,nan
Brunei Darussalam,Total,1865,2322,1912,nan
China,Total,10140000,10410000,11100000,nan
China, Hong Kong SAR,Total,51354,63692,54731,nan
China, Macao SAR,Total,2320,3004,2981,2477
Cyprus,Total,7202,7295,6742,nan
Georgia,Total,906,49118,42756,43971
India,Total,nan,nan,nan,nan
Iran (Islamic Republic of),Total,520923,395727,403202,nan
Iraq,Total,nan,nan,126639,nan
Israel,Total,50984,52055,48698,51526
Japan,Total,1439856,569050,30544016,nan
Jordan,Total,nan,nan,nan,nan
Kazakhstan,Total,nan,133523,686,nan
Kuwait,Total,38875,8041,436,nan
Kyrgyzstan,Total,14786,31401,31500,31710
Malaysia,Total,224931,206780,196965,nan
Maldives,Total,1512,nan,nan,nan
Mongolia,Total,20856,301,19041,550
Myanmar,Total,271140,214037,nan,nan
Nepal,Total,198463,nan,nan,nan
Oman,Total,855,1035,982,201
Philippines,Total,879429,679766,nan,nan
Qatar,Total,2841,2792,651,nan
Republic of Korea,Total,317680,372939,352511,nan
Saudi Arabia,Total,62192,nan,nan,nan
Singapore,Total,24292,26891,26888,26442
Sri Lanka,Total,163936,179792,181239,nan
State of Palestine,Total,17270,14450,nan,nan
Tajikistan,Total,nan,31103,nan,33022
Thailand,Total,550042,584854,552650,571646
Timor-Leste,Total,nan,8246,nan,nan
Türkiye,Total,566485,504839,525814,489361
United Arab Emirates,Total,11911,11762,11514,nan
Uzbekistan,Total,174541,172068,172757,174413
Viet Nam,Total,625455,nan,nan,nan
Yemen,Total,nan,20094,14772,nan
