Country,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Albania,116410.125,111290.4125,106170.7,101050.9875,95931.275,90811.5625,85691.85,80572.1375,75452.425,70332.71250000001,65213.0,47291.0,47813.0,44727.0,53273.0,54635.0,61300.0,59565.0,57241.0,63007.0,66257.0,69507.0,72784.0,72723.6,72663.2,72602.8,72542.4,72482.0,72421.6,72361.2,72300.8,72240.4,72180.0,77232.0,73762.0,79177.0,77535.0,76435.0,79696.0,80241.0,79281.0,78321.0,77361.0,75559.6,73758.2,71956.8,70155.4,68354.0,61739.0,60139.0,58187.0,56235.0,54283.0,45515.0,47012.0,43022.0,39612.0,843.0,826.0,875.0,838.0,828.0,669.0,510.0,351.0,192.0,33.0,159.5,286.0,412.5,539.0,539.0,539.0,539.0,539.0,539.0
Algeria,280667.0,327320.0,344546.0,359963.0,362262.0,382660.0,399121.0,317078.0,292585.0,20779.0,897338.0,416900.0,441819.25,466738.5,491657.75,516577.0,507848.0,522643.9090909091,537439.8181818182,552235.7272727273,567031.6363636364,581827.5454545454,596623.4545454546,611419.3636363636,626215.2727272727,641011.1818181818,655807.0909090909,670603.0,684389.0,698175.0,711961.0,773530.5,835100.0,851919.0,822631.0,816427.125,810223.25,804019.375,797815.5,791611.625,785407.75,779203.875,773000.0,799000.0,776000.0,735490.0,694980.0,654470.0,628342.0,620322.0,619674.6666666666,619027.3333333334,618380.0,616963.0,616963.0,616963.0,616963.0,616963.0,616963.0,616963.0,616963.0,616963.0,616963.0,616963.0,616963.0,616963.0,616963.0,616963.0,616963.0,616963.0,616963.0,616963.0,616963.0,616963.0,616963.0,616963.0
American Samoa,795.0,810.0,824.0,810.0,717.0,775.0,787.0,816.0,768.0,822.0,837.0833333333334,852.1666666666666,867.25,882.3333333333334,897.4166666666666,912.5,927.5833333333334,942.6666666666666,957.75,972.8333333333334,987.9166666666666,1003.0,1038.0,1077.0,987.0,154.0,1169.0,1118.0,1994.0,2870.0,2442.5,2015.0,1587.5,1160.0,1181.0,1293.0,1405.0,1517.0,1640.0,1625.0,1689.0,1753.0,1817.0,1856.0,1998.0,1955.125,1912.25,1869.375,1826.5,1783.625,1740.75,1697.875,1655.0,1629.0,1608.0,1713.0,1720.0,1658.5384615384614,1597.076923076923,1535.6153846153845,1474.1538461538462,1412.6923076923076,1351.2307692307693,1289.7692307692307,1228.3076923076924,1166.8461538461538,1105.3846153846155,1043.923076923077,982.4615384615385,921.0,840.0,734.0,706.0,706.0,737.0,737.0
Andorra,47813.0,47813.0,47813.0,44727.0,53273.0,54635.0,61300.0,89053.625,116807.25,116807.25,58450.625,94.0,107854.0,104.0,102764.0,98.0,103012.0,98.0,102867.0,94.0,103985.0,95366.25,86747.5,78128.75,69510.0,60891.25,52272.5,43653.75,35035.0,26416.25,17797.5,9178.75,560.0,557.4,554.8,552.2,549.6,547.0,527.0,572.0,634.0,656.0,678.0,729.0,723.0,704.0,712.6666666666666,721.3333333333334,730.0,781.0,779.6666666666666,778.3333333333334,777.0,749.0,721.0,814.0,828.0,815.0,802.0,789.0,776.0,763.0,750.0,737.0,565.0,393.0,221.0,634.0,588.0,543.0,529.6666666666666,516.3333333333334,503.0,502.0,458.0,501.0
Angola,52711.0,58365.0,61247.0,66971.0,65341.0,72756.0,77006.0,92401.0,98934.0,103113.0,100458.0,97594.0,96288.0,101906.0,98356.0,105518.0,114433.0,128698.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0,140337.0
Anguilla,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,166.33333333333334,163.66666666666666,161.0,169.0,155.0,176.0,179.5,183.0,169.0,139.0,164.0,167.0,170.0,173.0,176.0,179.0,182.0,185.0,192.0,165.0,151.0,165.0,164.16666666666666,163.33333333333334,162.5,161.66666666666666,160.83333333333334,160.0,129.0,129.0,129.0
Antigua,1577.0,1654.0,1676.0,1612.0,1687.0,1660.0,1880.0,1917.0,1764.0,1818.0,1831.0,1654.0,2296.75,2296.75,1234.75,1676.0,2296.75,1612.0,2296.75,2296.75,1687.0,1632.8333333333333,1578.6666666666667,1524.5,1470.3333333333333,1416.1666666666667,1362.0,1395.5,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0,1429.0
Antigua and Barbuda,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1177.0,1152.0,1174.0,1159.3333333333333,1144.6666666666667,1130.0,1094.0,1125.625,1157.25,1188.875,1220.5,1252.125,1283.75,1315.375,1347.0,1395.25,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5,1443.5
Argentina,419656.0,438766.0,444326.0,446156.0,459734.0,457559.0,461216.0,467493.0,470898.0,459434.0,476211.0,438766.0,444326.0,446156.0,459734.0,457559.0,461293.0,474142.0,478368.0,472865.0,421770.60714285716,370676.2142857143,319581.8214285714,268487.4285714286,217393.03571428574,166298.64285714287,115204.25,656768.0,485602.0,314436.0,143270.0,411781.0,680292.0,693635.5,706979.0,695952.0,684925.0,673898.0,662871.0,653576.0,667309.3333333334,681042.6666666666,694776.0,678761.0,667518.0,707869.0,691653.0,675437.0,692357.0,683301.0,683365.6666666666,683430.3333333334,683495.0,694684.0,697952.0,736261.0,712220.0,662468.6875,612717.375,562966.0625,513214.75,463463.4375,413712.125,363960.8125,314209.5,264458.1875,214706.875,164955.5625,115204.25,115204.25,115204.25,115204.25,115204.25,115204.25,115204.25,115204.25
Armenia,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,77185.0,70581.0,59041.0,51143.0,49638.5,48134.0,43929.0,39366.0,36932.333333333336,34498.666666666664,32065.0,32229.0,35793.0,37520.0,37499.0,37499.0,37499.0,37499.0,37499.0,37499.0,37499.0,37499.0,37499.0,37499.0,37499.0,37499.0,37499.0,37499.0,37499.0,37499.0,37499.0,37499.0,37499.0,37499.0
