Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aden,1721.0,1827.0,2060.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0,2074.0
Afghanistan,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,100460.625,200904.25,190451.64705882352,179999.04411764705,169546.4411764706,159093.83823529413,148641.23529411765,138188.63235294117,127736.02941176471,117283.42647058824,106830.82352941176,96378.2205882353,85925.61764705883,75473.01470588235,65020.41176470589,54567.80882352941,44115.205882352944,33662.602941176476,23210.0,24087.0,24087.0,24087.0,24087.0,24087.0,24087.0,24087.0,24087.0,24087.0,24087.0,24087.0,24087.0,24087.0,24087.0,24087.0,24087.0,24087.0,24087.0,24087.0,24087.0,24087.0,24087.0,24087.0,24087.0,24087.0,24087.0,24087.0
Albania,15445.0,18363.0,17646.0,15811.0,16731.0,16469.0,16565.0,16214.0,16732.0,17250.0,17768.0,19437.0,21106.0,22775.0,24444.0,26113.0,27782.0,27782.0,27782.0,16981.0,18001.0,16521.0,17416.0,17297.5,17179.0,17369.0,17119.0,17027.0,17265.666666666668,17504.333333333332,17743.0,17238.0,16639.0,17171.666666666668,17704.333333333332,18237.0,18250.0,17640.75,17031.5,16422.25,15813.0,16248.0,17967.0,17749.0,17427.0,16935.0,14528.0,16143.0,17432.666666666668,18722.333333333332,20012.0,20870.0,20442.0,20656.0,21022.0,21388.0,22232.0,21804.0,21937.0,27605.0,27782.0,23998.0,21286.0,22102.0
Algeria,10573.0,10573.0,10573.0,48048.333333333336,85523.66666666667,122999.0,118325.0,134160.0,158375.5,182591.0,206806.5,231022.0,255237.5,279453.0,303668.5,327884.0,315251.3333333333,302618.6666666667,289986.0,279674.0,273277.0,209027.0,422727.5,280350.75,137974.0,185432.91666666666,232891.8333333333,280350.75,327809.6666666666,375268.5833333333,422727.5,422727.5,422727.5,339295.3333333333,255863.16666666666,172431.0,171775.0,161104.25,150433.5,139762.75,129092.0,126557.0,130917.75,135278.5,139639.25,144000.0,149000.0,153000.0,159000.0,157000.0,161862.0,169815.0,168136.0,173781.0,182570.0,180404.0,174168.0,195248.75,216329.5,237410.25,258491.0,203146.0,192186.0,192186.0
American Samoa,106.0,131.0,136.0,111.0,130.5,150.0,126.0,116.0,146.0,163.71428571428572,181.42857142857144,199.14285714285714,216.85714285714286,234.57142857142858,252.28571428571428,270.0,257.3333333333333,244.66666666666666,232.0,219.33333333333334,206.66666666666666,194.0,181.33333333333334,168.66666666666669,156.0,170.0,156.0,197.0,203.66666666666666,210.33333333333334,217.0,226.0,223.0,225.0,227.0,229.0,231.0,233.0,235.0,237.0,239.0,295.0,257.0,289.0,279.0,267.0,270.2,273.4,276.6,279.8,283.0,282.0,270.0,259.0,269.5,280.0,289.0,298.0,310.0,322.0,331.0,399.0,356.0,356.0
Andorra,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,97.88888888888889,104.77777777777777,111.66666666666667,118.55555555555556,125.44444444444444,132.33333333333334,139.22222222222223,146.11111111111111,153.0,156.0,158.25,160.5,162.75,165.0,179.0,176.0,206.0,209.0,213.0,217.0,219.0,211.0,184.0,217.0,197.0,235.0,235.5,236.0,236.5,237.0,218.0,249.5,281.0,276.0,260.0,230.0,237.0,272.0,239.0,275.0,303.0,304.75,306.5,308.25,310.0,323.0,335.0,301.0,419.0,386.0,371.0,357.0,373.0
Angola,13.0,24.0,18.0,3371.0,6724.0,10077.0,9388.0,10825.0,12262.0,13699.0,15136.0,15086.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0,16322.0
Anguilla,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,71.25,69.5,67.75,66.0,64.25,62.5,60.75,59.0,58.0,57.0,56.0,62.0,58.0,55.333333333333336,52.666666666666664,50.0,52.0,65.0,53.0,62.0,60.833333333333336,59.666666666666664,58.5,57.333333333333336,56.166666666666664,55.0,38.0,72.0,75.66666666666667,79.33333333333333,83.0,80.4,77.8,75.2,72.6,70.0,79.0,95.0,99.0
Antigua,503.0,405.0,574.0,501.0,748.5,996.0,1009.5,1023.0,932.8333333333334,842.6666666666666,752.5,662.3333333333333,572.1666666666666,482.0,908.8333333333333,1335.6666666666665,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5,1762.5
Antigua and Barbuda,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,377.0,394.0,404.0,404.5,405.0,383.0,364.0,371.0,378.0,385.0,392.0,399.0,406.0,413.0,420.0,427.0,434.0,441.0,448.0,455.0,462.0,444.0,430.0416666666667,416.0833333333333,402.125,388.1666666666667,374.2083333333333,360.25,346.2916666666667,332.3333333333333,318.375,304.4166666666667,290.4583333333333,276.5,276.5,544.5,544.5,544.5,544.5,544.5,544.5,544.5,544.5,544.5
